freq,unit,sex,age,geo\TIME_PERIOD	1960 	1961 	1962 	1963 	1964 	1965 	1966 	1967 	1968 	1969 	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,NR,F,Y45-49,CH	179400 	174831 	170758 	164913 	160737 	157457 	163079 	170181 	177393 	184567 	190984 	191346 	191686 	192373 	193434 	194231 	194769 	193741 	194558 	195087 	195962 	196351 	197954 	198351 	198892 	200030 	201687 	205522 	212322 	220068 	227995 	234848 	241942 	246303 	249561 	250537 	251837 	249054 	248207 	247005 	248064 	249551 	254436 	259417 	264991 	271528.0 	278554.0 	285826.0 	293765.0 	304335.0 	313731.0 	321169 	326655 	329637 	330167 	327745 	324544 	320405 	314909 	308700 	303337 	299345 	296292 	296221 	300809 	304544 
A,NR,F,Y45-49,CY	: 	14767 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16581 	: 	: 	12450 	: 	: 	: 	: 	: 	13563 	13605 	13974 	14363 	14719 	15102 	15473 	15880 	16467 	17221 	18026 	18836 	19520 	20166 	20761 	21286 	21782 	22159 	22453 	22693 	23384 	24083 	25024 	26064.0 	27026.0 	27762.0 	28419.0 	28957.0 	29436.0 	29727 	30219 	30503 	30049 	29898 	29805 	30347 	31354 	32322 	32856 	33170 	33933 	34406 	35040 	36133 
A,NR,F,Y45-49,CZ	357631 	336369 	300669 	260906 	221529 	207231 	224734 	261596 	302892 	344133 	360764 	359108 	353312 	344979 	337049 	329548 	326413 	321798 	317510 	309199 	301128 	288402 	277876 	268629 	265648 	265653 	273917 	284105 	296766 	315343 	333720 	342007 	365140 	388240 	399551 	406345 	417752 	415327 	409892 	405588 	403405 	397014 	389313 	380118 	368159 	351153.0 	335750.0 	323009.0 	316447.0 	321319.0 	333251.0 	341391 	345657 	347406 	341760 	337971 	340118 	347702 	361163 	382802 	408110 	421258 b	437496 	461451 	466198 	457121 
A,NR,F,Y45-49,DE	2279584 	2167689 	1996436 	1765178 	1555328 	1470970 	1596994 	1802258 	2005125 	2177211 	2229222 	2164491 	2100981 	2045448 	2020201 	1985337 	1947607 	1902352 	1864684 	1814000 	1845523 	1898447 	1988011 	2090241 	2224606 	2311541 	2383651 	2410155 	2352291 	2281814 	2187344 	2502469 	2311559 	2286135 	2272018 	2308505 	2493304 	2628976 	2717388 	2776464 	2809753 	2828100 	2867180 	2908610 	2962665 	3033754.0 	3121542.0 	3211454.0 	3296332.0 	3386570.0 	3447397.0 	3442138 b	3454255 	3443166 	3395959 	3318228 	3221159 	3097169 	2944060 	2772302 	2624418 	2509582 	2428702 	2414497 b	2445662 	2484613 
A,NR,F,Y45-49,DK	155384 	153354 	152072 	149934 	149232 	147251 	151347 	154275 	154864 	155412 	156946 	153234 	149947 	148241 	145632 	142554 	140656 	138553 	137944 	136420 	136880 	136719 	137990 	139864 	142665 	144476 	147385 	150334 	155917 	163301 	173493 	184124 	195275 	201717 	203452 	200446 	196442 	189443 	184361 	182342 	181530 	180898 	182285 	182510 	182406 	182720.0 	184057.0 	185052.0 	187337.0 	192025.0 	197288.0 	202458 	208699 	211165 	208710 	204582 	199814 	195034 	194163 	194245 	195744 	197743 	195133 	191621 	189003 	185340 
A,NR,F,Y45-49,EE	45677 	43518 	41222 	37435 	35978 	34044 	34350 	37058 	41476 	44614 	48414 	51719 	53640 	54694 	55745 	55952 	56416 	56166 	56198 	54321 	52947 	51844 	51911 	52395 	54037 	55687 	55842 	56794 	54342 	50711 	47254 	44931 	43030 	43582 	45992 	48740 	50557 	51041 	51215 	50810 	51280 	51790 	51560 	51400 	51550 	51400.0 	51020.0 	50940.0 	50350.0 	49370.0 	48310.0 	46680 	44885 	43639 	43137 	42940 b	43499 	44308 	45053 	45292 	45307 	44861 	44632 	45834 	46341 	46132 
A,NR,F,Y45-49,EL	264726 	251620 	278393 	234395 	255330 	216389 	245353 	220098 	248230 	229652 	268323 	269658 	281293 	299274 	314965 	323261 	333292 	338894 	342290 	346168 	346458 	357680 	357350 	355364 	352644 	348000 	322029 	314538 	305786 	296876 	289807 	280842 	305897 	323303 	341852 	343667 	341754 	337641 	338103 	338657 	345157 	351466 	349379 	355745 	365108 	373592.0 	379813.0 	384019.0 	389036.0 	391239.0 	391860.0 	393373 	396962 	404643 	412740 	420075 	424661 	424570 	419030 	412102 	408394 	404647 	401809 b	402299 	402135 	400763 
A,NR,F,Y45-49,ES	916295 	: 	934205 	935601 	937735 	940837 	944240 	971445 	1000187 	1027707 	1053458 	1083343 	1107253 	1108738 	1131046 	1140686 	1166771 	1173006 	1195365 	1203742 	1208119 	1192980 	1203574 	1164972 	1103522 	1029243 	1034247 	976643 	969327 	1015775 	1087002 	1096017 	1139764 	1177394 	1207953 	1223156 	1214625 	1225463 	1243659 	1239886 	1249084 	1281792 	1321361 	1372620 	1428585 	1492256.0 	1552980.0 	1605080.0 	1646566.0 	1684802.0 	1728350.0 	1758078 	1790246 	1818422 	1829256 	1828525 	1837284 	1851505 	1864133 	1886744 	1922199 	1950833 	1976812 	2008433 	2034133 	2032474 
A,NR,F,Y45-49,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15083548 	15224589 	15365681 	15537187 	15695541.0 	15779775.0 	15912301.0 	15966735.0 	16078631.0 	16247188.0 	16310992 	16362203 	16507532 	16530678 be	16462495 be	16398241 be	16332191 be	16167614 e	15992123 	15892200 e	15764997 bep	15652546 ep	15657635 bep	: 	15612637 ep
A,NR,F,Y45-49,FI	149570 	146685 	143311 	139922 	138662 	132391 	135827 	139435 	141639 	144363 	150272 	148699 	147702 	147137 	146377 	146801 	146540 	145135 	143591 	139314 	136025 	133697 	132810 	133754 	137973 	142005 	140469 	149181 	145620 	146267 	147317 	160217 	167896 	187168 	200866 	211737 	214240 	210461 	207263 	202603 	199863 	197682 	197444 	194872 	192029 	189539.0 	187897.0 	186172.0 	185566.0 	187140.0 	187231.0 	186481 	185618 	184591 	182119 	177605 	173099 	167853 	161558 	155005 	154391 	155532 	158628 	163165 	169327 	172289 
A,NR,F,Y45-49,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1490086 	1644321 	1790241 	1921720 	2046670 	2173421 	2187503 	2188777 	2178697 	2180713 	2176941 	2189671 	2195492 	2206643 	2220902.0 	2233593.0 	2245921.0 	2253347.0 	2274333.0 	2292827.0 	2302857 	2310487 	2307248 	2300981 b	2284457 	2277202 	2277292 	2297769 p	2311688 	2290167 	2251473 	2194021 	2142636 p	2113231 p	2110090 p
A,NR,F,Y45-49,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	172192.0 	176109.0 	179118.0 	179645.0 	180744.0 	176400 	170881 	: 	158796 	131500 	123100 	122200 	120840 	119619 	118680 	118884 	117905 	118075 	118799 	119630 
A,NR,F,Y45-49,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	160531 	165198 	165513 	165684 	165725.0 	164768.0 	163011.0 	162107.0 	160130.0 	157247.0 	155710 	154234 	151722 	149494 	146721 	141075 	136609 	133308 	131179 	129823 	130099 	129762 	129754 	130617 	131956 
A,NR,F,Y45-49,HU	377538 	353904 	320745 	280427 	243531 	235608 	261731 	301095 	343629 	382348 	385543 	385939 	383386 	375371 	372812 	373134 	369967 	363987 	363217 	358440 	354267 	346147 	341665 	336817 	334390 	332768 	335891 	336845 	341892 	343880 	346810 	342778 	341848 	345151 	353938 	357612 	373448 	387649 	392175 	401541 	417827 	426026 	429610 	423405 	407471 	380855.0 	358010.0 	337823.0 	323847.0 	313990.0 	307248.0 	301362 	304325 	314432 	325776 	336387 	346174 	352621 	354338 	354782 	369055 	386872 	402156 	414857 	420241 	408672 
A,NR,F,Y45-49,IE	84900 	85400 	85100 	84800 	84200 	83600 	83000 	82500 	81900 	81200 	80900 	80600 	80100 	79500 	78900 	78200 	77600 	76600 	75600 	74900 	74409 	74100 	74900 	76100 	77100 	78218 	78975 	78824 	81327 	83869 	86447 	91024 	96355 	100862 	105214 	109076 	111193 	112933 	115395 	116835 	118717 	120938 	123842 	126245 	128878 	131816.0 	135174.0 	139140.0 	142907.0 	146669.0 	149973.0 	152127 	154368 	155564 	156207 	158193 	161582 	166282 	170533 	176163 	181472 	184515 	187851 	194615 	199130 	205863 
A,NR,F,Y45-49,IS	4387 	4470 	4465 	4521 	4603 	4593 	4687 	4847 	4946 	5041 	5151 	5141 	5197 	5251 	5261 	5354 	5610 	5624 	5669 	5630 	5604 	5433 	5419 	5334 	5289 	5214 	5219 	5255 	5523 	5912 	6232 	6562 	6856 	7112 	7431 	7698 	7912 	8290 	8512 	8723 	8946 	9254 	9487 	9772 	9995 	10262.0 	10466.0 	10556.0 	10768.0 	10932.0 	11024.0 	10991 	11142 	11051 	10814 	10552 	10316 	10161 	10483 	10867 	10958 	11306 	11532 	11603 	11500 	11939 
A,NR,F,Y45-49,IT	1761900 	1745600 	1668300 	1516000 	1357500 	1258500 	1309700 	1421500 	1591600 	1765500 	1891200 	1869700 	1862457 	1859016 	1852820 	1841073 	1868854 	1868036 	1856435 	1851833 	1851678 	1828080 	1813981 	1816173 	1838670 	1865408 	1890908 	1887901 	1870149 	1827031 	1771093 	1701549 	1770641 	1828421 	1896907 	1950370 	2011796 	1968028 	1930659 	1886056 	1879171 	1875593 	1891533 	1916427 	1962738 	2006172 	2050692 	2102541 	2171787 	2248218 	2330500 	2398982 	2448582 	2484464 	2501126 	2488041 	2467810 	2451343 	2431373 	2412294 b	2392965 	2363044 	2316007 	2265326 	2201072 	2116264 
A,NR,F,Y45-49,LI	498 	485 	460 	439 	435 	437 	461 	499 	549 	598 	: 	639 	: 	626 	633 	617 	598 	555 	545 	566 	596 	621 	628 	644 	675 	679 	729 	798 	841 	887 	979 	982 	1028 	1082 	1108 	1085 	1129 	1146 	1176 	1179 	1218 	1243 	1298 	1299 	1349 	1410.0 	1471.0 	1484.0 	1506.0 	1550.0 	1578.0 	1568 	1575 	1612 	1657 	1629 	1628 	1599 	1571 	1509 	1468 	1467 	1427 	1380 	1349 	1383 
A,NR,F,Y45-49,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	101732 	111684 	116000 	117719 	120279 	121896 	123023 	122828 	124063 	122762 	122092 	121349 	122919 	122024 	121791 	122259 	121302 	120635 	121520 	119810 	115501 	115138 	110496 	106010 	106030 	110471 	110925 	113109 	115351 	114460 	113650 	114854 	115099 	117540 	122447 	127142.0 	130459.0 	134081.0 	134585.0 	132192.0 	128384.0 	121685 	116577 	113491 	111532 	109990 	109489 	108774 	107294 	105221 	103440 	100431 	97623 	96817 	: 	94784 
A,NR,F,Y45-49,LU	11254 	11320 	: 	: 	: 	9763 	: 	9921 	10484 	11296 	11737 	11630 	11784 	12018 	12099 	12283 	12577 	12603 	12539 	12311 	11988 	11649 	11423 	11319 	11431 	11561 	11607 	11547 	11705 	11708 	11562 	11551 	11951 	12285 	12562 	13054 	13588 	13750 	14138 	14500 	14872 	15090 	15785 	16217 	16633 	16976.0 	17584.0 	18010.0 	18442.0 	18971.0 	19643.0 	19994 	20547 	21048 	21492 	21878 	22072 	22444 b	22420 	22442 	22509 	22533 	22612 	23171 	23773 	24161 
A,NR,F,Y45-49,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	87173 	95764 	99182 	99760 	99395 	98785 	98430 	96295 	95625 	93394 	91094 	89561 	91177 	92090 	95056 	98474 	99848 	100273 	98158 	94002 	93740 	93306 	78310 	76059 	76866 	79339 	81344 	83208 	83780 	83158 	82637 	82946 	82905 	84064 	85831 	86437.0 	87118.0 	87600.0 	86948.0 	84858.0 	82049.0 	78141 	75062 	72654 	70841 	69573 	69529 	69284 	68797 	68254 	67749 	66825 	65253 	64993 	64016 	62734 
A,NR,F,Y45-49,MC	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1201 	1166 
A,NR,F,Y45-49,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	151123.0 	151044.0 	149575.0 	146299.0 	140707.0 	132984 	127351 	122337 	118847 	89909 be	87186 e	86405 e	85411 e	85090 e	84762 e	85730 e	86785 e	84870 ep	84084 ep	78144 ep
A,NR,F,Y45-49,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21871 	22012 	22063 	22137 	22263 	22050.0 	22060.0 	22096.0 	22250.0 	22175.0 	22148.0 	21670 	21428 	21090 	20627 	20463 	20272 	20206 	20320 	20661 	20724 	20960 	21193 	21302 	21850 	22071 
A,NR,F,Y45-49,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55032 	57857 	61348 	64027 	66288 	66606 	68175 	68734 	70198 	69809 	70248 	70512.0 	71386.0 	71499.0 	71031.0 	71398.0 	71742.0 	71815 	72007 	72825 	72948 	72584 	71839 	71663 	71938 	71781 	72043 	72760 	63915 b	63475 	63392 	63222 
A,NR,F,Y45-49,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9215 	8955 	9360 	9339 	9555 	9301 	: 	9697 	9931 	9767 	9438 	8923 	8990 	9816 	10969 b	12313 	14015 	15036 	15145 	15126 	14825 	14402 	14029 	13866 	14160 	14328 	14524 	14802 	15039.0 	15223.0 	15088.0 	14955.0 	14616.0 	14238.0 	13754 	13295 	12862 	12732 	12670 	12880 	13335 	14021 	14650 	15590 	16122 	16638 	17341 	18032 	18779 
A,NR,F,Y45-49,NL	338886 	338826 	341355 	339262 	334918 	331213 	344139 	354036 	363165 	376413 	386854 	383105 	380702 	378692 	376158 	374762 	378040 	379051 	381949 	380042 	379820 	377397 	377231 	376808 	382307 	388378 	397119 	402323 	410812 	422142 	437341 	445561 	491636 	530227 	554862 	570390 	588690 	570992 	560863 	557426 	559041 	564396 	572354 	578261 	586426 	596124.0 	603975.0 	613365.0 	621972.0 	630545.0 	638431.0 	642990 	642334 	639794 	637413 	638599 	640395 	639328 	634635 	619179 	595627 	569595 	547531 	534934 	530016 	527781 
A,NR,F,Y45-49,NO	121075 	121575 	122316 	123034 	124179 	123558 	127700 	129282 	129629 	129582 	129868 	124335 	120857 	116728 	113006 	109701 	107598 	105103 	103634 	100587 	98361 	96006 	94484 	94037 	95991 	98448 	101136 	102896 	106603 	111347 	118259 	126027 	137847 	145752 	150814 	152248 	152305 	148298 	146901 	147316 	148446 	149989 	153018 	154400 	155426 	156442.0 	156895.0 	156908.0 	157928.0 	159900.0 	162742.0 	166258 	170066 	173930 	177676 	180774 	182590 	184418 	185474 	184354 	183317 	181392 	177883 	175545 	175099 	173744 
A,NR,F,Y45-49,PL	924600 	: 	: 	: 	: 	679600 	: 	: 	: 	: 	1016200 	: 	: 	: 	: 	1134011 	: 	: 	: 	: 	1116384 	: 	: 	: 	: 	1055166 	: 	: 	: 	: 	909914 	894224 	954223 	1043891 	1153957 	1261385 	1380967 	1447781 	1499772 	1533944 	1548797 	1571639 	1579420 	1585018 	1582558 	1564958.0 	1522049.0 	1464131.0 	1395501.0 	1331060.0 	1265877.0 	1220134 	1188189 	1165292 	1146585 	1139114 	1145043 	1163060 	1191440 	1228360 	1271175 	1295230 bep	1340433 ep	1375562 ep	1402979 ep	1427607 ep
A,NR,F,Y45-49,PT	278030 	267173 	265590 	257200 	252610 	240780 	249710 	250810 	258120 	262580 	275950 	272355 	274020 	267920 	273650 	278010 	303070 	301230 	305100 	305220 	307080 	308463 	307597 	304892 	304242 	303430 	297557 	289919 	287726 	287294 	290937 	301077 	307686 	313641 	321946 	326030 	328040 	334202 	341215 	341059 	344872 	350583 	352954 	356455 	362575 	367200.0 	372270.0 	379956.0 	386118.0 	391398.0 	398926.0 	402333 	402266 	400721 	398237 	394312 	393356 	395600 	399477 	403636 	409864 	415592 	420100 	425152 	425996 	422057 
A,NR,F,Y45-49,RO	: 	: 	: 	: 	: 	: 	: 	: 	608224 	650749 	678390 	713006 	711022 	715550 	732395 	728512 	738922 	746964 	752410 	749827 	752330 	744766 	756506 	753044 	759614 	760757 	754193 	723292 	690107 	652108 	629281 	598245 	593325 	600039 	627523 	667992 	722941 	747579 	780500 	798583 	800934 	812557 	812744 	809695 	805217 	795408.0 	727814.0 	715815.0 	629183.0 	554186.0 	546029.0 	538966 	528716 	608475 	687244 	746992 	796773 	836751 	784051 	730862 	720299 e	717118 e	718393 e	728445 e	739835 e	730189 e
A,NR,F,Y45-49,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	310014 	314584 	311608 	313769 	301470 	291510 	279335.0 	273115.0 	267056.0 	263908.0 	259817.0 	254518.0 	250871 	245135 	241663 	239080 	238500 	235689 	235169 	235213 	236504 	237799 	241277 	243656 	239466 b	238818 	238013 
A,NR,F,Y45-49,RU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6370206.0 	6378550.0 	6322679.0 	6172886.0 	5938526.0 	5632283 	: 	: 	4822505 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,F,Y45-49,SE	267396 	264683 	262472 	259901 	257017 	253768 	263505 	269579 	271037 	272275 	273462 	262843 	253808 	246900 	241956 	236294 	232522 	229235 	227156 	221974 	219175 	215787 	215542 	216430 	221399 	227796 	232845 	238456 	249416 	263892 	280393 	298902 	315397 	324946 	328897 	327197 	321146 	311791 	303708 	296446 	290176 	288137 	288618 	289253 	288398 	288858.0 	288076.0 	288040.0 	289554.0 	294956.0 	305370.0 	315514 	325177 	332451 	334920 	329661 	326022 	324719 	323818 	324649 	328884 	328772 	324931 	320776 	316405 	313539 
A,NR,F,Y45-49,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	61805 	60400 	59570 	59249 	59447 	60216 	61297 	61902 	60828 	57683 	58249 	58690 	59515 	62601 	66647 	69288 	71648 	73863 	75733 	76494 	77488 	77693 	76957 	76327.0 	75854.0 	75660.0 	75239.0 	75830.0 	76365.0 	77024 	77211 	77302 	76316 	75040 	72923 	71308 	70309 	70581 	70916 	72516 	73995 	74885 	75584 	76775 
A,NR,F,Y45-49,SK	126088 	121159 	109826 	95959 	82516 	81811 	90249 	108494 	127464 	146736 	150789 	152761 	151231 	148450 	145974 	145197 	145938 	145974 	146408 	144616 	142371 	139674 	136517 	133273 	132576 	133254 	134689 	137097 	139583 	141057 	143704 	144004 	145777 	152084 	159979 	166240 	177301 	188248 	195413 	200736 	206195 	208919 	210182 	209551 	208230 	204351.0 	199836.0 	195220.0 	190643.0 	188625.0 	189127.0 	188011 	185760 	183317 	179368 	176337 	175144 	176142 	180905 	188352 	196092 	203524 	210160 	214450 	217018 	218247 
A,NR,F,Y45-49,SM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1598 	1632 	: 	: 	: 	: 	1602 	: 	: 	: 	: 	: 	: 	: 
A,NR,F,Y45-49,TR	488874 	474431 	460493 	447038 	434050 	421507 	444271 	468569 	494527 	522280 	551974 	591481 	634573 	681638 	733104 	789454 	815700 	844690 	876628 	911748 	950292 	959435 	968824 	978460 	988352 	998504 	1011928 	1025944 	1040579 	1055859 	1071808 	1136551 	1158567 	1186584 	1222611 	1268137 	1324673 	1392198 	1467717 	1547220 	1623701 	1650000 b	1717000 	1787000 	1854000 	1918000.0 	1975000.0 	2028000.0 	2027439.0 	2130748.0 	2228411.0 	2341378 	2380649 	2331081 	2331911 	2298768 	2252992 	2335639 	2498790 	2640524 	2760721 	2775631 	2823495 	2869703 	2894024 	2933900 
A,NR,F,Y45-49,UA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1951796.0 	1955984.0 	1946790.0 	1914215.0 	1856877.0 	1770586 	1701370 	1635208 	1582202 	1468268 	1475388 	1483748 	1505544 	1514212 	1535369 	1541601 	1549310 	: 	: 	: 
A,NR,F,Y45-49,UK	1900000 	1900000 	1800000 	1800000 	1700000 	1700000 	1707200 	1767000 	1832100 	1894500 	1884200 	1815300 	1761560 	1721291 	1690466 	1667030 	1648290 	1629245 	1609420 	1585843 	1562696 	1546718 	1539638 	1545007 	1560782 	1574286 	1570961 	1565483 	1581757 	1618135 	1663599 	1722000 	1830526 	1944849 	2004839 	2035717 	2050832 	2009669 	1938113 	1901142 	1887102 	1887566 	1904457 	1934774 	1971420 	2015253.0 	2068326.0 	2125279.0 	2183344.0 	2241079.0 	2296236.0 	2339091 	2364225 	2374381 	2372908 	2359143 	2345281 	2331027 	2301931 	2258056 	: 	: 	: 	: 	: 	: 
A,NR,F,Y5-9,AD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1496 	1588 	1574 	1606 	1562 	1536 	1550 	1495 	1514 	1546 	1541 	1600 	1687 	1716 	1679 	1650 	1594 	1571 	1696 	1903.0 	2005.0 	2091.0 	2133.0 	2111.0 	2020.0 	1942 	1942 	1866 	: 	: 	: 	: 	: 	1911 	: 	: 	: 	: 	: 	: 
A,NR,F,Y5-9,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	145246 	141540 	137391 	132971.0 	127471.0 	122898.0 	115144.0 	110686.0 	104305.0 	96781 	93881 	88249 	85214 	81581 	79179 	78748 	79695 	80038 	80821 	80005 	: 	76099 	: 	57070 
A,NR,F,Y5-9,AM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	98732.0 	94386.0 	88074.0 	84862.0 	83378.0 	: 	: 	: 	: 	93275 	95700 	97101 	98126 	98694 	98001 	97631 	: 	: 	90845 	: 
A,NR,F,Y5-9,AT	235511 	237107 	246187 	255118 	264148 	273713 	282352 	289935 	297887 	305759 	312208 	314884 	315383 	314234 	310713 	304044 	294494 	285221 	274351 	260085 	247730 	238619 	228918 	218930 	213351 	208764 	208772 	212689 	218362 	222005 	225719 	225697 	225955 	225690 	226180 	226075 	227806 	230351 	232037 	233257 	233066 	230403 	227325 	223386 	218275 	213142.0 	209383.0 	203182.0 	200681.0 	198360.0 	198138.0 	197439 	198401 	197161 	197389 	197271 	200435 	201564 	203181 	203926 	206018 	207313 	210984 	217130 	220286 	221717 
A,NR,F,Y5-9,AZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	286000.0 	266100.0 	257800.0 	265800.0 	296313.0 	291984 	290871 	289626 	297240 	309748 	328712 	352359 	374044 	383866 	393063 	394580 	387921 	346137 	332574 	321628 
A,NR,F,Y5-9,BE	345442 	351890 	354902 	358967 	364597 	370773 	374360 	378710 	380531 	382574 	384562 	385697 	382179 	376210 	368238 	358508 	352245 	346811 	341811 	335280 	325906 	314597 	306028 	299287 	295441 	294574 	296504 	297147 	298389 	296947 	294533 	290435 	288042 	287746 	290064 	293561 	298410 	303116 	306556 	306456 	303443 	298421 	294491 	290870 	288378 	288381.0 	289734.0 	289700.0 	288713.0 	289318.0 	291634.0 	296765 	301135 	306820 	312928 	318100 	323804 	325682 	326802 	325662 	324512 	320633 	317406 	316288 	313860 	311519 
A,NR,F,Y5-9,BG	343073 	331504 	331384 	325433 	319363 	319485 	321426 	317302 	315147 	311934 	308735 	307625 	301422 	296860 	302247 	309946 	309473 	315803 	319572 	315917 	316445 	325381 	330629 	336142 	336533 	334551 	320792 	312405 	304469 	298054 	280516 	275413 	271147 	264385 	261315 	257480 	252631 	242867 	233747 	222864 	211410 	198717 	177281 	165228 	157477 	155165.0 	155119.0 	153269.0 	154702.0 	155365.0 	154092.0 	153508 	156044 	161973 	163864 	166367 	167194 	165463 	161520 	156052 	150483 	147899 	147784 	148187 	148346 	147634 
A,NR,F,Y5-9,BY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	222377.0 	220813.0 	220366.0 	218637.0 	: 	214281 	216752 	223705 	233269 	244073 	252975 	260988 	268251 	274285 	: 	: 	: 	: 	: 	: 
